t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
2.700000,0.376185,-0.007732,-0.041646,0.211026,0.001018,-0.005513,9.393229,-0.007953,2.341451,2.355164,0.539322,-0.016487,-0.063716,0.319070,0.002997,-0.013383,9.393229,-0.007953,2.341451,2.355164
2.733333,0.383254,-0.007993,-0.041827,0.213435,0.001004,-0.005321,9.493695,-0.006961,2.367423,2.379425,0.550000,-0.017070,-0.064157,0.322551,0.002987,-0.013097,9.493695,-0.006961,2.367423,2.379425
2.766667,0.390404,-0.008260,-0.042001,0.215862,0.000990,-0.005133,9.594613,-0.005985,2.393494,2.403813,0.560794,-0.017666,-0.064589,0.326048,0.002977,-0.012814,9.594613,-0.005985,2.393494,2.403813
2.800000,0.397635,-0.008532,-0.042169,0.218305,0.000976,-0.004948,9.695974,-0.005025,2.419662,2.428325,0.571705,-0.018275,-0.065011,0.329561,0.002965,-0.012533,9.695974,-0.005025,2.419662,2.428325
2.833333,0.404948,-0.008808,-0.042331,0.220765,0.000962,-0.004765,9.797768,-0.004079,2.445925,2.452959,0.582732,-0.018897,-0.065424,0.333089,0.002953,-0.012255,9.797768,-0.004079,2.445925,2.452959
2.866667,0.412343,-0.009090,-0.042487,0.223242,0.000947,-0.004586,9.899986,-0.003149,2.472282,2.477711,0.593877,-0.019531,-0.065828,0.336633,0.002940,-0.011979,9.899986,-0.003149,2.472282,2.477711
2.900000,0.419820,-0.009377,-0.042636,0.225735,0.000933,-0.004409,10.002618,-0.002232,2.498730,2.502579,0.605140,-0.020177,-0.066223,0.340191,0.002926,-0.011705,10.002618,-0.002232,2.498730,2.502579
2.933333,0.427381,-0.009670,-0.042780,0.228243,0.000918,-0.004236,10.105657,-0.001329,2.525269,2.527560,0.616521,-0.020837,-0.066609,0.343764,0.002911,-0.011434,10.105657,-0.001329,2.525269,2.527560
2.966667,0.435025,-0.009967,-0.042919,0.230767,0.000903,-0.004065,10.209092,-0.000439,2.551895,2.552651,0.628020,-0.021509,-0.066985,0.347351,0.002895,-0.011165,10.209092,-0.000439,2.551895,2.552651
3.000000,0.442754,-0.010270,-0.043051,0.233307,0.000888,-0.003897,10.312914,0.000438,2.578606,2.577851,0.639639,-0.022194,-0.067353,0.350951,0.002878,-0.010899,10.312914,0.000438,2.578606,2.577851
3.033333,0.450567,-0.010577,-0.043179,0.235862,0.000872,-0.003731,10.417115,0.001303,2.605402,2.603156,0.651378,-0.022892,-0.067712,0.354564,0.002861,-0.010635,10.417115,0.001303,2.605402,2.603156
3.066667,0.458466,-0.010890,-0.043300,0.238431,0.000857,-0.003568,10.521686,0.002156,2.632280,2.628563,0.663236,-0.023604,-0.068062,0.358191,0.002843,-0.010374,10.521686,0.002156,2.632280,2.628563
3.100000,0.466451,-0.011208,-0.043416,0.241015,0.000841,-0.003408,10.626617,0.002998,2.659238,2.654070,0.675215,-0.024327,-0.068403,0.361829,0.002824,-0.010115,10.626617,0.002998,2.659238,2.654070
3.133333,0.474521,-0.011532,-0.043527,0.243614,0.000825,-0.003251,10.731900,0.003828,2.686275,2.679675,0.687316,-0.025065,-0.068736,0.365480,0.002804,-0.009858,10.731900,0.003828,2.686275,2.679675
3.166667,0.482679,-0.011860,-0.043633,0.246226,0.000809,-0.003095,10.837525,0.004647,2.713388,2.705375,0.699537,-0.025815,-0.069061,0.369142,0.002783,-0.009603,10.837525,0.004647,2.713388,2.705375
3.200000,0.490923,-0.012194,-0.043734,0.248853,0.000793,-0.002943,10.943484,0.005456,2.740575,2.731167,0.711880,-0.026578,-0.069376,0.372815,0.002762,-0.009352,10.943484,0.005456,2.740575,2.731167
3.233333,0.499255,-0.012533,-0.043829,0.251492,0.000776,-0.002792,11.049768,0.006255,2.767835,2.757049,0.724345,-0.027354,-0.069684,0.376500,0.002739,-0.009102,11.049768,0.006255,2.767835,2.757049
3.266667,0.507676,-0.012877,-0.043920,0.254146,0.000760,-0.002644,11.156369,0.007045,2.795165,2.783019,0.736933,-0.028143,-0.069983,0.380194,0.002716,-0.008855,11.156369,0.007045,2.795165,2.783019
3.300000,0.516184,-0.013226,-0.044006,0.256812,0.000743,-0.002499,11.263277,0.007824,2.822564,2.809074,0.749643,-0.028946,-0.070274,0.383898,0.002693,-0.008610,11.263277,0.007824,2.822564,2.809074
3.333333,0.524782,-0.013580,-0.044086,0.259491,0.000726,-0.002355,11.370484,0.008595,2.850030,2.835212,0.762476,-0.029761,-0.070557,0.387612,0.002668,-0.008367,11.370484,0.008595,2.850030,2.835212
3.366667,0.533469,-0.013940,-0.044163,0.262182,0.000709,-0.002214,11.477981,0.009356,2.877561,2.861429,0.775433,-0.030590,-0.070832,0.391335,0.002643,-0.008126,11.477981,0.009356,2.877561,2.861429
3.400000,0.542246,-0.014305,-0.044234,0.264886,0.000692,-0.002075,11.585760,0.010109,2.905155,2.887725,0.788513,-0.031432,-0.071099,0.395067,0.002617,-0.007888,11.585760,0.010109,2.905155,2.887725
3.433333,0.551113,-0.014675,-0.044301,0.267601,0.000674,-0.001937,11.693811,0.010854,2.932810,2.914096,0.801717,-0.032287,-0.071358,0.398806,0.002590,-0.007652,11.693811,0.010854,2.932810,2.914096
