t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
32.266666667,102.884129349,0.160860769,51.751412306,51.132717043
32.300000000,102.935413201,0.152556228,51.761083962,51.174329239
32.333333333,102.985563917,0.144278752,51.770241098,51.215322819
32.366666667,103.034578637,0.136027701,51.778881051,51.255697587
32.400000000,103.082454571,0.127802435,51.787001199,51.295453373
32.433333333,103.129188997,0.119602318,51.794598957,51.334590040
32.466666667,103.174779261,0.111426717,51.801671779,51.373107481
32.500000000,103.219222779,0.103275001,51.808217160,51.411005619
32.533333333,103.262517036,0.095146538,51.814232630,51.448284407
32.566666667,103.304659585,0.087040702,51.819715758,51.484943827
32.600000000,103.345648044,0.078956868,51.824664152,51.520983892
32.633333333,103.385480102,0.070894411,51.829075457,51.556404645
32.666666667,103.424153515,0.062852711,51.832947356,51.591206159
32.700000000,103.461666104,0.054831149,51.836277570,51.625388534
32.733333333,103.498015758,0.046829107,51.839063855,51.658951904
32.766666667,103.533200434,0.038845970,51.841304005,51.691896428
32.800000000,103.567218153,0.030881124,51.842995854,51.724222299
32.833333333,103.600067003,0.022933958,51.844137267,51.755929736
32.866666667,103.631745139,0.015003862,51.844726151,51.787018989
32.900000000,103.662250781,0.007090228,51.844760445,51.817490337
32.933333333,103.691582214,-0.000807550,51.844238127,51.847344087
32.966666667,103.719737789,-0.008690076,51.843157210,51.876580579
33.000000000,103.746715921,-0.016557953,51.841515743,51.905200178
33.033333333,103.772515090,-0.024411782,51.839311810,51.933203280
33.066666667,103.797133843,-0.032252162,51.836543532,51.960590311
33.100000000,103.820570788,-0.040079691,51.833209065,51.987361724
33.133333333,103.842824600,-0.047894965,51.829306598,52.013518002
33.166666667,103.863894017,-0.055698578,51.824834358,52.039059659
33.200000000,103.883777840,-0.063491124,51.819790605,52.063987235
33.233333333,103.902474934,-0.071273193,51.814173635,52.088301299
33.266666667,103.919984230,-0.079045375,51.807981778,52.112002452
33.300000000,103.936304719,-0.086808260,51.801213398,52.135091322
33.333333333,103.951435458,-0.094562434,51.793866893,52.157568564
33.366666667,103.965375563,-0.102308484,51.785940698,52.179434865
33.400000000,103.978124218,-0.110046992,51.777433278,52.200690940
33.433333333,103.989680667,-0.117778543,51.768343135,52.221337532
33.466666667,104.000044215,-0.125503719,51.758668802,52.241375412
33.500000000,104.009214232,-0.133223099,51.748408849,52.260805383
33.533333333,104.017190150,-0.140937263,51.737561876,52.279628274
33.566666667,104.023971461,-0.148646790,51.726126518,52.297844943
33.600000000,104.029557722,-0.156352257,51.714101444,52.315456278
33.633333333,104.033948549,-0.164054238,51.701485355,52.332463195
33.666666667,104.037143622,-0.171753310,51.688276984,52.348866638
33.700000000,104.039142680,-0.179450046,51.674475098,52.364667582
33.733333333,104.039945527,-0.187145018,51.660078498,52.379867029
33.766666667,104.039552024,-0.194838799,51.645086015,52.394466009
33.800000000,104.037962097,-0.202531958,51.629496514,52.408465583
33.833333333,104.035175731,-0.210225066,51.613308891,52.421866839
33.866666667,104.031192972,-0.217918693,51.596522077,52.434670895
33.900000000,104.026013928,-0.225613404,51.579135032,52.446878896
33.933333333,104.019638767,-0.233309769,51.561146750,52.458492017
33.966666667,104.012067719,-0.241008354,51.542556256,52.469511462
34.000000000,104.003301071,-0.248709723,51.523362608,52.479938464
34.033333333,103.993339175,-0.256414441,51.503564893,52.489774282
34.066666667,103.982182440,-0.264123074,51.483162232,52.499020208
34.100000000,103.969831337,-0.271836183,51.462153777,52.507677560
34.133333333,103.956286397,-0.279554333,51.440538713,52.515747684
34.166666667,103.941548210,-0.287278084,51.418316252,52.523231959
34.200000000,103.925617429,-0.295007998,51.395485641,52.530131788
34.233333333,103.908494763,-0.302744637,51.372046157,52.536448606
34.266666667,103.890180983,-0.310488559,51.347997108,52.542183875
34.300000000,103.870676921,-0.318240326,51.323337834,52.547339087
34.333333333,103.849983467,-0.326000495,51.298067704,52.551915763
34.366666667,103.828101570,-0.333769627,51.272186119,52.555915452
34.400000000,103.805032242,-0.341548278,51.245692510,52.559339732
34.433333333,103.780776552,-0.349337006,51.218586341,52.562190211
34.466666667,103.755335628,-0.357136370,51.190867103,52.564468526
34.500000000,103.728710660,-0.364946925,51.162534320,52.566176341
34.533333333,103.700902896,-0.372769229,51.133587546,52.567315350
34.566666667,103.671913643,-0.380603837,51.104026365,52.567887278
34.600000000,103.641744268,-0.388451305,51.073850393,52.567893875
34.633333333,103.610396198,-0.396312189,51.043059273,52.567336925
34.666666667,103.577870917,-0.404187044,51.011652682,52.566218236
34.700000000,103.544169973,-0.412076424,50.979630324,52.564539649
34.733333333,103.509294967,-0.419980885,50.946991935,52.562303032
34.766666667,103.473247565,-0.427900980,50.913737282,52.559510283
34.800000000,103.436029489,-0.435837264,50.879866159,52.556163330
34.833333333,103.397642520,-0.443790291,50.845378392,52.552264128
34.866666667,103.358088500,-0.451760614,50.810273838,52.547814662
34.900000000,103.317369330,-0.459748787,50.774552382,52.542816948
34.933333333,103.275486969,-0.467755363,50.738213940,52.537273029
34.966666667,103.232443435,-0.475780895,50.701258457,52.531184978
35.000000000,103.188240808,-0.483825937,50.663685909,52.524554899
35.033333333,103.142881223,-0.491891041,50.625496301,52.517384921
35.066666667,103.096366877,-0.499976760,50.586689668,52.509677208
35.100000000,103.048700025,-0.508083647,50.547266076,52.501433949
