t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
71.833333333,13.985755541,-0.391967041,6.239094999,7.746660542
71.866666667,13.991050262,-0.390589180,6.244392092,7.746658171
71.900000000,13.996396859,-0.389211247,6.249715263,7.746681596
71.933333333,14.001793717,-0.387833425,6.255063349,7.746730368
71.966666667,14.007239221,-0.386455899,6.260435190,7.746804031
72.000000000,14.012731751,-0.385078848,6.265829630,7.746902121
72.033333333,14.018269684,-0.383702451,6.271245514,7.747024171
72.066666667,14.023851396,-0.382326884,6.276681691,7.747169705
72.100000000,14.029475257,-0.380952320,6.282137014,7.747338244
72.133333333,14.035139638,-0.379578930,6.287610338,7.747529301
72.166666667,14.040842906,-0.378206884,6.293100522,7.747742384
72.200000000,14.046583427,-0.376836347,6.298606431,7.747976996
72.233333333,14.052359563,-0.375467483,6.304126929,7.748232634
72.266666667,14.058169678,-0.374100454,6.309660888,7.748508790
72.300000000,14.064012133,-0.372735420,6.315207182,7.748804950
72.333333333,14.069885286,-0.371372536,6.320764690,7.749120596
72.366666667,14.075787497,-0.370011957,6.326332293,7.749455204
72.400000000,14.081717123,-0.368653835,6.331908879,7.749808244
72.433333333,14.087672523,-0.367298320,6.337493338,7.750179185
72.466666667,14.093652052,-0.365945559,6.343084566,7.750567486
72.500000000,14.099654068,-0.364595697,6.348681463,7.750972605
72.533333333,14.105676928,-0.363248876,6.354282933,7.751393995
72.566666667,14.111718988,-0.361905237,6.359887884,7.751831104
72.600000000,14.117778606,-0.360564917,6.365495231,7.752283375
72.633333333,14.123854140,-0.359228052,6.371103892,7.752750248
72.666666667,14.129943949,-0.357894776,6.376712790,7.753231158
72.700000000,14.136046391,-0.356565218,6.382320853,7.753725538
72.733333333,14.142159828,-0.355239508,6.387927014,7.754232813
72.766666667,14.148282621,-0.353917772,6.393530212,7.754752410
72.800000000,14.154413135,-0.352600133,6.399129388,7.755283747
72.833333333,14.160549733,-0.351286715,6.404723492,7.755826242
72.866666667,14.166690784,-0.349977636,6.410311476,7.756379308
72.900000000,14.172834654,-0.348673014,6.415892300,7.756942355
72.933333333,14.178979716,-0.347372964,6.421464926,7.757514790
72.966666667,14.185124342,-0.346077600,6.427028326,7.758096017
73.000000000,14.191266909,-0.344787031,6.432581472,7.758685437
73.033333333,14.197405793,-0.343501367,6.438123345,7.759282449
73.066666667,14.203539377,-0.342220715,6.443652930,7.759886447
73.100000000,14.209666044,-0.340945178,6.449169218,7.760496826
